# Bigme Hibreak Pro - Apps Report
# Generated: Fri Jan  9 05:00:58 EST 2026
# Device: B651D2B2FMJA006000082
# Packages remaining: 225

Legend: ✅ KEEP | ❌ DELETED | ⚠️ DISABLED

================================================================================
## DUMB PHONE LAUNCHER (Your Apps)
================================================================================

| Status | Package | App Name | Function |
| ✅ KEEP | com.android.phone | Phone Service | Telephony |
| ✅ KEEP | com.android.bluetooth | Bluetooth | Bluetooth service |
| ✅ KEEP | com.android.nfc | NFC | NFC service |
| ✅ KEEP | com.android.deskclock | Clock | Clock & alarms |
| ✅ KEEP | com.android.inputmethod.latin | AOSP Keyboard | Backup keyboard |
| ✅ KEEP | com.android.providers.contacts | Contacts Provider | Contact storage |
| ✅ KEEP | com.android.providers.downloads | Download Manager | Downloads |
| ✅ KEEP | com.android.providers.media | Media Provider | Media database |
| ✅ KEEP | com.android.providers.telephony | Telephony Provider | SMS/MMS storage |
| ✅ KEEP | com.android.mms.service | MMS Service | MMS handling |
| ✅ KEEP | com.android.shell | Shell | ADB shell |
| ✅ KEEP | com.android.keychain | Key Chain | Certificate storage |
| ✅ KEEP | com.android.emergency | Emergency Info | Emergency contacts |

================================================================================
## OTHER APPS
================================================================================

| Status | Package | App Name | Function |
|--------|---------|----------|----------|
| ✅ KEEP | com.trustonic.teeservice | TEE Service | Security enclave |
| ❌ DELETED | com.sohu.inputmethod.sogou.oem | Sogou Keyboard | Chinese keyboard |
| ❌ DELETED | com.eusoft.eudic | Eudic | Dictionary |
| ❌ DELETED | com.socialnmobile.colordict | ColorDict | Dictionary |
| ❌ DELETED | com.iflytek.speechcloud | iFlytek Speech | Chinese speech |
| ❌ DELETED | com.xsyt.faceregister | Face Register | Face unlock setup |
| ❌ DELETED | com.debug.loggerui | Logger UI | Debug logging |

================================================================================
## SUMMARY
================================================================================

Apps deleted in this session: 40

✅ KEEP   = Essential for dumb phone or system stability
❌ DELETED = Uninstalled for user (can be reinstalled via Play Store or ADB)
⚠️ DISABLED = Disabled but not uninstalled (can be re-enabled)

To restore a deleted system app:
  adb shell cmd package install-existing <package>

To re-enable a disabled app:
  adb shell pm enable <package>

